world_rank,university_name,Country,Region,Climate,Tuition_Fees (USD)[10076-49933],Average_Living_Cost (USD),Scholarship_Option(yes/no),Global_Ranking,Internship_Placement_Rate(%),Research_Opportunities,Teaching_Method,Faculty_Credentials (%),Degree_Recognition,Student_Satisfaction_Rate (%),Course_Flexibility,Dual_Degree_Programs,Transfer_Options,Living_Conditions,Average_Placement_(LPA)[5-19.94],Global_Certifications,Alumni_Network,Scholarship_Program,Scholarship_Amount(USD),Visa_Sponsorship,Visa_Sponsorship_Details,Language_Requirements,Aptitude_Test_Requirements,Top_Hiring_Industries,Fields_of Study Available,Year_Established,Program_Duration (Years),Student Facilities,Dining Options,Acceptance_Rate(%),Application_Deadlines,Interview Requirement,Student Support Services,Class Size,Safety Index (%),Currency Used,College Recognition and Awards,Early Decision,Waitlist Acceptance Rate (%),Open Electives Per Stream,Student Exchange Program,Local Attractions,Accessibility for Students with Disabilities,Quality of Mentors (Rating out of 10),Gap Year Support,Recommendation Letters Requirement,Embassy Support,Events,Smart Classroom Features,Collaborative Study Spaces,Retention Rate (%),Summer and Winter Internship
601-800,Niigata University,UK,Europe,Arid,17555,20374,No,366,94.98783939,Yes,Online,95,Regional,83,High,Yes,Yes,Low,14.92,No,Active,Full Scholarship,43108.42,Yes,Full Sponsorship,Mandarin,GRE,Healthcare,Law,1938,4,Library,Cafeteria,20,Nov-01,Yes,Yes,50,95,EUR,Global Ranking Top 100,No,6,7,No,Caves,Excellent,6.980264722,Not Available,Yes,Low,30,No,Yes,73.04992687,Yes
131,University of York,Canada,North America,Continental,23500,15521,Yes,368,96.24655052,No,In-person,100,Regional,85,Low,No,Yes,High,15.78,No,Active,Full Scholarship,31238.45,No,Full Sponsorship,German,TOEFL,Manufacturing,Engineering,1959,5,Library,Restaurants,49,Apr-30,No,No,11,85,USD,Global Ranking Top 100,Yes,1,10,Yes,Hiking Trails,Good,8.532304891,Not Available,No,Low,70,Yes,Yes,82.17326488,No
401-500,"University of Maryland, Baltimore County",Canada,North America,Arid,31068,9672,Yes,368,69.66437941,Yes,In-person,97,International,75,Medium,Yes,Yes,Medium,7.51,No,Active,Partial Scholarship,15455.31,Yes,No Sponsorship,German,GRE,Finance,Arts,2018,3,Labs,Restaurants,14,Apr-30,No,Yes,29,80,USD,National Recognition,Yes,6,7,Yes,Temples,Average,8.554190895,Available,Yes,Medium,86,No,Yes,96.02804049,No
501-600,Tokyo University of Agriculture and Technology,UK,Asia,Continental,38119,22637,No,368,58.32548824,No,In-person,91,National,99,High,Yes,No,High,17.95,Yes,Active,No Scholarship,27071.08,Yes,Full Sponsorship,German,TOEFL,Manufacturing,Technology,1897,5,Sports Complex,Restaurants,17,Apr-30,Yes,Yes,43,90,GBP,National Recognition,Yes,9,8,Yes,Historic Bridges,Good,7.739194372,Not Available,Yes,Low,47,Yes,No,86.73476009,Yes
174,University of Barcelona,Australia,North America,Continental,39098,23119,Yes,370,89.62979815,No,Online,76,International,74,High,No,Yes,Low,6.74,No,Active,Full Scholarship,20551.48,No,Full Sponsorship,Spanish,IELTS,Consulting,Science,1946,3,Gym,Restaurants,15,Jan-15,No,Yes,34,90,GBP,Regional Award,Yes,7,2,Yes,Shopping Districts,Excellent,8.094402058,Available,Yes,Medium,55,Yes,No,84.39304089,Yes
201-250,University of Kiel,USA,Asia,Arid,43059,9402,Yes,370,61.8537617,No,Hybrid,83,International,79,Medium,No,Yes,Medium,13.96,No,Active,Partial Scholarship,8965.26,Yes,Partial Sponsorship,English,TOEFL,Manufacturing,Business,1944,4,Sports Complex,Cafeteria,49,Jan-15,No,Yes,28,95,USD,Global Ranking Top 100,No,2,2,No,Waterfalls,Excellent,7.917983803,Not Available,Yes,High,81,Yes,No,85.76128366,No
84,University of Freiburg,UK,Europe,Continental,32540,14571,No,371,62.11926267,Yes,Online,74,National,74,High,Yes,No,Medium,16.25,No,Active,Partial Scholarship,38388.45,Yes,Full Sponsorship,Mandarin,GRE,Healthcare,Science,1850,5,Library,Cafeteria,33,Jan-15,No,Yes,25,80,EUR,Global Ranking Top 100,Yes,8,7,No,Mountain Passes,Good,9.235674825,Available,Yes,High,72,Yes,Yes,87.71649787,No
601-800,Kyushu Institute of Technology,Australia,Europe,Tropical,31203,9655,Yes,371,78.64921392,No,In-person,91,International,75,High,Yes,Yes,Medium,9.55,No,Inactive,No Scholarship,46837.41,Yes,Partial Sponsorship,German,None,Healthcare,Law,1984,3,Library,Cafeteria,26,Nov-01,No,No,48,95,USD,Global Ranking Top 100,No,9,1,No,Art Galleries,Good,9.018102559,Not Available,Yes,Low,79,Yes,No,74.53413253,Yes
601-800,Sichuan University,USA,North America,Temperate,30625,15419,Yes,371,85.65516254,No,Hybrid,95,Regional,64,High,Yes,No,High,10.1,Yes,Inactive,No Scholarship,49218.08,No,No Sponsorship,English,GRE,Manufacturing,Arts,1884,3,Sports Complex,Restaurants,29,Apr-30,No,No,32,80,EUR,Regional Award,No,2,1,No,Concert Halls,Average,7.273277458,Available,Yes,Low,23,No,No,76.64658799,Yes
1,California Institute of Technology,Canada,Asia,Continental,46433,21435,Yes,372,85.4934425,No,Hybrid,94,National,96,High,No,No,High,20.47,No,Inactive,No Scholarship,36489.41,No,No Sponsorship,German,TOEFL,Consulting,Arts,1999,3,Library,Food Court,38,Apr-30,No,Yes,15,85,USD,National Recognition,No,9,9,No,Waterfront Promenades,Average,8.391476485,Not Available,Yes,High,57,No,Yes,75.56640249,Yes
501-600,King Fahd University of Petroleum and Minerals,USA,Europe,Temperate,44758,23216,Yes,372,91.70335761,No,Hybrid,75,National,71,Low,Yes,No,High,8.91,No,Active,Partial Scholarship,14212.07,Yes,No Sponsorship,Mandarin,IELTS,Consulting,Law,1847,5,Library,Cafeteria,23,Jan-15,No,No,17,80,EUR,Global Ranking Top 100,No,5,4,Yes,Historic Buildings,Good,8.989723544,Not Available,No,Medium,31,No,No,73.32535546,Yes
601-800,Carlos III University of Madrid,UK,Asia,Arid,33357,14078,No,372,82.68537206,No,In-person,77,International,81,Low,No,Yes,High,18.79,No,Inactive,Full Scholarship,12079.09,Yes,Full Sponsorship,Mandarin,None,Tech,Law,1993,5,Sports Complex,Food Court,49,Nov-01,No,No,18,80,GBP,Regional Award,Yes,0,10,Yes,Lakesides,Good,8.039653784,Available,Yes,High,91,No,Yes,75.53835452,No
201-250,Rush University,USA,Asia,Continental,38494,13235,Yes,373,92.56646382,Yes,In-person,84,International,67,Medium,Yes,No,Medium,7.43,No,Inactive,Partial Scholarship,34417.71,Yes,No Sponsorship,German,GRE,Manufacturing,Science,1870,3,Library,Food Court,15,Nov-01,Yes,Yes,39,90,USD,National Recognition,Yes,8,5,Yes,Mountain Passes,Good,8.019303351,Not Available,Yes,High,12,No,Yes,90.11850238,No
501-600,UniversitÃ© de Sherbrooke,Canada,Asia,Continental,48989,11234,Yes,374,76.65889193,Yes,Online,96,International,96,Low,Yes,No,High,13.25,Yes,Inactive,No Scholarship,46280.28,Yes,Full Sponsorship,English,IELTS,Manufacturing,Business,1999,3,Labs,Cafeteria,48,Apr-30,No,Yes,41,80,USD,Global Ranking Top 100,No,4,4,Yes,Sports Stadiums,Excellent,9.775947421,Not Available,Yes,Low,56,Yes,No,93.24397578,Yes
501-600,University of Warsaw,USA,Europe,Temperate,11817,11092,Yes,374,97.33645385,Yes,Online,84,Regional,65,High,Yes,Yes,Low,18.65,No,Inactive,Partial Scholarship,24842.15,No,Full Sponsorship,Spanish,IELTS,Manufacturing,Arts,1830,4,Library,Food Court,43,Apr-30,No,Yes,37,80,GBP,Global Ranking Top 100,Yes,4,4,No,River Walks,Excellent,7.627184354,Not Available,Yes,Low,48,No,Yes,97.43424915,No
601-800,University of Ljubljana,Australia,Oceania,Temperate,20300,19851,Yes,375,72.83015511,Yes,In-person,82,Regional,72,Low,Yes,Yes,Low,9.59,Yes,Active,Full Scholarship,47803.95,Yes,Full Sponsorship,English,IELTS,Consulting,Arts,1882,5,Gym,Restaurants,14,Apr-30,Yes,No,20,85,USD,Regional Award,Yes,9,4,No,Natural Springs,Excellent,7.179690008,Not Available,No,Medium,82,No,Yes,76.05849016,Yes
601-800,Aristotle University of Thessaloniki,Canada,Europe,Arid,48249,21639,No,377,91.60222829,No,Hybrid,88,National,70,High,No,Yes,High,15.8,Yes,Active,Partial Scholarship,7558.95,No,No Sponsorship,German,IELTS,Healthcare,Law,1837,4,Sports Complex,Restaurants,20,Jan-15,No,No,49,85,EUR,National Recognition,No,9,5,No,Nature Reserves,Average,6.322498029,Available,Yes,High,47,No,No,89.0551524,Yes
75,Pennsylvania State University,UK,Oceania,Tropical,42519,17681,No,378,81.86803552,No,In-person,99,National,92,Medium,Yes,Yes,Medium,12.89,No,Active,Full Scholarship,20208.26,No,No Sponsorship,French,IELTS,Tech,Science,1889,3,Labs,Food Court,12,Jan-15,Yes,No,23,80,USD,Regional Award,Yes,9,9,No,Mountain Ranges,Excellent,9.981614925,Available,No,High,70,Yes,Yes,94.96376269,No
158,University of Rochester,UK,Oceania,Continental,40059,22266,Yes,378,57.56316908,Yes,Online,72,Regional,62,Medium,No,Yes,Low,5.32,No,Active,No Scholarship,39835.35,No,Full Sponsorship,Mandarin,TOEFL,Tech,Science,1871,5,Gym,Restaurants,25,Apr-30,Yes,No,31,80,USD,National Recognition,Yes,10,9,Yes,Theaters,Average,8.890653697,Available,Yes,Low,57,No,Yes,70.97496116,No
201-250,Paris Descartes University,Australia,Europe,Arid,35471,14302,Yes,378,60.50340638,Yes,Online,95,Regional,74,Low,No,No,Medium,15.03,Yes,Inactive,No Scholarship,17981.38,No,No Sponsorship,Mandarin,IELTS,Healthcare,Arts,1905,4,Gym,Restaurants,19,Jan-15,Yes,Yes,47,85,USD,National Recognition,Yes,9,6,No,Parks,Average,8.021924832,Available,No,High,72,Yes,Yes,83.46450877,No
601-800,Comenius University in Bratislava,USA,Asia,Arid,36804,20977,Yes,378,78.39307534,No,In-person,99,Regional,89,Medium,Yes,Yes,High,10.99,No,Active,Full Scholarship,45942.19,Yes,No Sponsorship,English,GRE,Finance,Arts,1921,5,Labs,Restaurants,50,Apr-30,No,Yes,18,95,USD,Regional Award,No,4,5,Yes,Archaeological Sites,Good,6.1277147,Available,No,Low,54,No,Yes,70.414864,Yes
201-250,Swedish University of Agricultural Sciences,UK,Asia,Tropical,48840,14746,Yes,379,88.17605861,No,In-person,85,National,78,Low,Yes,Yes,High,7.86,No,Active,Full Scholarship,13756.21,No,No Sponsorship,Spanish,None,Consulting,Business,1888,4,Gym,Food Court,23,Jan-15,No,Yes,13,90,USD,Regional Award,No,5,4,No,Mountain Ranges,Average,8.612701043,Available,Yes,Medium,21,Yes,Yes,92.03140867,No
601-800,University of Dhaka,UK,Europe,Temperate,27066,20343,Yes,379,60.52227819,Yes,Online,91,National,85,High,Yes,No,High,14.64,Yes,Active,Full Scholarship,34425.45,Yes,Partial Sponsorship,English,TOEFL,Finance,Law,1987,3,Gym,Restaurants,24,Jan-15,Yes,Yes,44,95,GBP,Regional Award,Yes,5,4,Yes,Theme Parks,Average,7.587161147,Not Available,Yes,Medium,78,No,No,75.03470738,No
601-800,King Mongkutâ€™s University of Technology Thonburi,Canada,Oceania,Tropical,30248,17867,No,379,68.95350162,Yes,Hybrid,77,International,73,Medium,Yes,No,Medium,18.54,No,Inactive,Full Scholarship,32807.36,Yes,No Sponsorship,Spanish,GRE,Finance,Arts,2005,4,Library,Cafeteria,28,Jan-15,Yes,Yes,42,85,USD,National Recognition,Yes,7,8,Yes,Amusement Parks,Good,8.657917435,Not Available,No,Low,63,Yes,No,72.60591918,Yes
601-800,National Chengchi University,Australia,Europe,Arid,11196,16168,Yes,379,71.77368575,Yes,In-person,77,National,73,High,Yes,Yes,Low,5.38,No,Active,Partial Scholarship,39696.73,Yes,Full Sponsorship,Mandarin,TOEFL,Finance,Engineering,1921,5,Gym,Restaurants,15,Jan-15,No,Yes,19,80,GBP,Regional Award,Yes,3,5,Yes,Wineries,Average,7.751236525,Not Available,Yes,High,66,Yes,Yes,75.53406549,No
601-800,Osaka Prefecture University,UK,Asia,Temperate,33931,15946,Yes,379,55.81805677,No,In-person,99,Regional,69,High,Yes,Yes,Medium,7.1,Yes,Active,Partial Scholarship,35367.06,Yes,Partial Sponsorship,German,None,Tech,Business,1915,5,Labs,Cafeteria,49,Apr-30,No,Yes,27,90,GBP,National Recognition,Yes,3,10,No,Waterfalls,Good,6.639207966,Not Available,Yes,High,49,No,Yes,72.04024914,No
109,University of Western Australia,Australia,North America,Tropical,10924,20667,Yes,380,87.70288059,Yes,In-person,82,Regional,62,Medium,No,No,Low,11.17,Yes,Inactive,No Scholarship,39806.02,Yes,Full Sponsorship,German,None,Healthcare,Engineering,1884,5,Sports Complex,Restaurants,37,Apr-30,Yes,No,45,90,GBP,National Recognition,No,10,6,Yes,Wineries,Excellent,7.959650157,Not Available,Yes,Medium,74,No,Yes,74.58935288,Yes
113,Pierre and Marie Curie University,Canada,North America,Arid,10801,16501,No,380,97.97657639,Yes,In-person,82,International,66,Medium,No,No,Medium,7.68,No,Inactive,No Scholarship,2963.49,No,Partial Sponsorship,Spanish,None,Finance,Arts,2013,5,Gym,Restaurants,42,Nov-01,No,No,22,85,USD,National Recognition,No,10,6,No,Coastal Walks,Good,8.686628487,Available,Yes,Medium,28,Yes,Yes,89.76515839,No
601-800,Kobe University,USA,Oceania,Tropical,28536,10316,No,380,84.3609383,Yes,Hybrid,77,National,70,High,No,Yes,Low,7.18,No,Inactive,Full Scholarship,7550.02,Yes,No Sponsorship,Spanish,GRE,Tech,Science,2000,3,Library,Cafeteria,9,Apr-30,Yes,Yes,47,80,USD,National Recognition,Yes,2,7,No,Coastal Walks,Average,8.53973112,Not Available,Yes,Low,66,No,Yes,92.60731251,No
60,Washington University in St Louis,Canada,North America,Tropical,25946,18575,No,381,83.66333486,Yes,In-person,81,Regional,72,High,Yes,Yes,High,8.76,Yes,Active,Partial Scholarship,20267.46,Yes,Partial Sponsorship,French,TOEFL,Finance,Engineering,1808,5,Sports Complex,Food Court,21,Nov-01,No,No,19,85,USD,Regional Award,No,9,10,Yes,Ruins,Excellent,6.288922752,Not Available,No,Medium,97,Yes,Yes,70.84453683,No
601-800,Yuan Ze University,Germany,Oceania,Continental,49883,19016,Yes,381,88.7346236,Yes,Hybrid,81,National,60,Low,No,Yes,Low,13.56,No,Active,No Scholarship,35249.25,Yes,No Sponsorship,Mandarin,IELTS,Consulting,Science,1923,5,Labs,Cafeteria,10,Apr-30,Yes,No,33,85,USD,Regional Award,No,6,7,Yes,Wildlife Sanctuaries,Average,7.500609645,Not Available,No,Low,48,Yes,No,72.64996978,No
251-300,Aix-Marseille University,Australia,Europe,Temperate,27988,21542,No,382,56.61622939,Yes,Hybrid,85,National,86,Low,Yes,Yes,Low,6.45,Yes,Inactive,Partial Scholarship,47120.92,No,Full Sponsorship,German,IELTS,Finance,Arts,1935,5,Gym,Food Court,24,Apr-30,Yes,No,19,95,USD,National Recognition,Yes,2,5,No,Library,Good,9.293387901,Available,No,Medium,52,Yes,Yes,91.92908333,Yes
501-600,University of Maribor,USA,Oceania,Tropical,41262,8096,Yes,382,55.21453503,No,Hybrid,89,Regional,73,Low,Yes,Yes,Low,10.78,Yes,Inactive,Full Scholarship,35262.44,Yes,Partial Sponsorship,English,GRE,Finance,Technology,1936,3,Sports Complex,Food Court,34,Jan-15,Yes,No,34,95,GBP,Regional Award,Yes,6,1,No,Beaches and Coastal Areas,Average,8.832199002,Available,Yes,Low,26,Yes,No,78.573262,No
601-800,University of Debrecen,Canada,Asia,Tropical,46974,17197,No,382,74.31570366,Yes,In-person,78,Regional,90,High,Yes,No,High,16.63,No,Active,Full Scholarship,45915.92,No,Partial Sponsorship,Mandarin,None,Finance,Science,1868,3,Sports Complex,Food Court,22,Nov-01,Yes,No,50,95,USD,National Recognition,Yes,2,4,No,Beaches and Coastal Areas,Average,9.138037613,Not Available,No,Low,25,Yes,Yes,94.15030439,No
401-500,Indian Institute of Technology Kharagpur,India,Asia,Temperate,40901,20282,Yes,383,86.9703167,No,Hybrid,97,National,69,Low,Yes,Yes,Medium,19.18,Yes,Active,Partial Scholarship,6475.4,Yes,Full Sponsorship,German,GRE,Finance,Science,1868,3,Labs,Restaurants,17,Nov-01,No,No,32,95,USD,Regional Award,No,10,1,No,Historic Bridges,Excellent,9.44648034,Not Available,Yes,Medium,41,Yes,Yes,98.1676505,Yes
201-250,Tel Aviv University,Germany,North America,Arid,26748,9946,No,384,98.32286547,No,Online,99,National,100,Medium,No,No,Medium,15.79,Yes,Inactive,Full Scholarship,10793.6,Yes,Full Sponsorship,German,TOEFL,Consulting,Science,1907,3,Gym,Restaurants,38,Nov-01,No,No,39,95,EUR,Global Ranking Top 100,Yes,10,8,No,Cliffs,Excellent,9.891905419,Available,No,Low,28,No,Yes,76.7977721,Yes
601-800,University of Szeged,Germany,Asia,Temperate,39699,8706,No,384,59.02089221,No,Online,78,Regional,91,Low,No,Yes,High,14.38,No,Active,Full Scholarship,1942.56,No,Partial Sponsorship,English,TOEFL,Tech,Arts,1937,3,Labs,Cafeteria,12,Apr-30,Yes,Yes,39,95,EUR,Global Ranking Top 100,Yes,10,2,No,Amusement Parks,Excellent,9.655642017,Available,Yes,Low,100,Yes,Yes,81.83890899,Yes
601-800,Chongqing University,Australia,Europe,Arid,33313,20711,Yes,385,70.98344771,No,Hybrid,88,National,94,Low,Yes,Yes,Medium,19.32,No,Active,Full Scholarship,25634.63,Yes,No Sponsorship,English,GRE,Consulting,Law,1961,3,Sports Complex,Cafeteria,26,Apr-30,Yes,No,49,80,EUR,Regional Award,No,7,10,No,Aquariums,Good,7.026587804,Not Available,Yes,Medium,99,No,Yes,94.88660327,Yes
251-300,University of Delaware,UK,Oceania,Arid,23554,10686,No,386,85.32993747,No,Hybrid,95,Regional,85,High,No,No,High,5.57,No,Inactive,Full Scholarship,3252.38,Yes,Partial Sponsorship,Spanish,IELTS,Consulting,Engineering,1935,3,Library,Restaurants,7,Apr-30,No,Yes,11,90,EUR,Regional Award,Yes,2,3,No,Vineyards,Average,7.043609497,Available,No,High,82,Yes,Yes,70.39079158,No
601-800,Dalian University of Technology,Germany,Oceania,Continental,40303,24979,Yes,386,68.98902437,No,Hybrid,90,Regional,64,Medium,Yes,No,Low,16.26,Yes,Inactive,Full Scholarship,3373.22,No,Partial Sponsorship,Mandarin,GRE,Tech,Engineering,1917,3,Gym,Food Court,23,Jan-15,No,Yes,36,85,USD,Regional Award,No,6,3,No,Waterfronts,Average,9.320207874,Available,Yes,High,69,No,Yes,80.43123605,Yes
601-800,Tokushima University,UK,Asia,Tropical,48324,15047,No,386,84.75808582,Yes,Hybrid,96,International,76,Medium,Yes,Yes,Low,17.5,Yes,Active,No Scholarship,32233.85,No,Partial Sponsorship,German,TOEFL,Tech,Science,1821,5,Sports Complex,Restaurants,5,Jan-15,No,Yes,18,85,USD,National Recognition,Yes,7,6,Yes,Ruins,Good,7.248391167,Not Available,Yes,Medium,93,No,No,98.98093982,No
36,University of Illinois at Urbana-Champaign,UK,Europe,Temperate,18280,8431,Yes,389,98.36779826,Yes,In-person,84,International,80,High,Yes,No,Medium,6.81,Yes,Active,Partial Scholarship,38087.98,No,Partial Sponsorship,Spanish,GRE,Manufacturing,Engineering,1938,5,Labs,Food Court,31,Apr-30,No,Yes,15,90,USD,National Recognition,No,8,5,Yes,Parks,Average,9.071224762,Not Available,No,Low,43,No,Yes,84.53046126,Yes
301-350,Shanghai Jiao Tong University,UK,North America,Arid,23489,10311,No,389,65.85681227,Yes,Online,73,International,76,Medium,Yes,No,Low,15.66,No,Inactive,Full Scholarship,21034.62,No,Full Sponsorship,German,GRE,Manufacturing,Arts,1938,5,Labs,Restaurants,49,Apr-30,No,No,26,80,EUR,National Recognition,No,8,6,No,Botanical Gardens,Excellent,9.822477237,Not Available,No,Medium,86,No,Yes,79.17977946,Yes
201-250,University of Hawaiâ€™i at MÄnoa,USA,Oceania,Arid,13037,17373,Yes,391,65.77775612,No,In-person,99,International,76,High,Yes,No,Low,7.65,Yes,Inactive,No Scholarship,20802.83,No,No Sponsorship,Mandarin,GRE,Consulting,Engineering,1891,4,Gym,Cafeteria,50,Nov-01,No,Yes,29,80,USD,National Recognition,Yes,10,4,Yes,Cliffs,Excellent,9.288074023,Available,Yes,Low,86,No,Yes,75.84935317,Yes
401-500,University of Portsmouth,Germany,Asia,Continental,22554,11391,Yes,391,82.37312546,Yes,Online,73,National,89,Medium,Yes,Yes,Medium,19.72,No,Active,No Scholarship,26668.78,Yes,No Sponsorship,English,None,Healthcare,Business,1878,5,Labs,Restaurants,14,Jan-15,No,Yes,23,80,GBP,Regional Award,No,2,9,Yes,Waterfront Promenades,Excellent,6.92899792,Not Available,Yes,Medium,16,No,Yes,84.29903339,No
501-600,Kent State University,UK,Europe,Temperate,24089,13271,No,391,83.90143708,Yes,Hybrid,76,National,76,Low,Yes,No,High,10.84,No,Active,No Scholarship,40920.82,Yes,No Sponsorship,English,None,Tech,Law,1905,3,Library,Cafeteria,18,Jan-15,Yes,No,15,80,USD,Regional Award,Yes,0,8,No,Lakesides,Good,7.057926253,Not Available,Yes,Medium,56,Yes,No,70.9718358,Yes
94,McMaster University,Germany,Asia,Arid,49412,10044,Yes,392,74.51073426,No,Hybrid,90,National,74,Low,Yes,Yes,Low,13.97,No,Inactive,No Scholarship,11454.31,Yes,No Sponsorship,Spanish,TOEFL,Healthcare,Business,1808,3,Labs,Cafeteria,18,Apr-30,No,No,17,80,USD,Global Ranking Top 100,Yes,8,9,Yes,Amusement Parks,Excellent,8.459721092,Available,Yes,Low,90,No,Yes,87.52595764,Yes
601-800,Oakland University,USA,North America,Arid,24098,13560,Yes,392,77.37360398,No,Hybrid,84,Regional,68,High,Yes,No,High,19.8,Yes,Active,No Scholarship,6358.87,Yes,Partial Sponsorship,Spanish,GRE,Finance,Technology,1813,4,Sports Complex,Food Court,25,Apr-30,Yes,No,19,90,USD,Global Ranking Top 100,Yes,3,5,Yes,Library,Good,8.395489735,Not Available,No,Medium,29,No,No,71.53981185,Yes
251-300,"University of Tennessee, Knoxville",Germany,Asia,Continental,19848,17005,Yes,393,88.26146672,Yes,Hybrid,89,International,64,Low,Yes,No,Low,19.74,Yes,Active,Partial Scholarship,25046.21,Yes,Full Sponsorship,German,IELTS,Tech,Law,1966,5,Library,Cafeteria,44,Apr-30,No,No,35,95,USD,Global Ranking Top 100,Yes,5,7,No,Hiking Trails,Average,9.889780674,Available,No,Medium,61,Yes,No,97.3345925,Yes
401-500,University of NeuchÃ¢tel,Australia,Europe,Arid,12605,19537,No,393,83.37455914,No,In-person,76,International,74,Low,Yes,Yes,Medium,19.26,Yes,Active,No Scholarship,17035.59,No,Full Sponsorship,English,None,Healthcare,Arts,1867,5,Gym,Restaurants,24,Jan-15,Yes,No,43,80,USD,National Recognition,No,4,5,No,Flea Markets,Good,6.655765966,Available,Yes,Low,48,No,No,87.07408025,Yes
601-800,Saitama University,UK,Oceania,Arid,48514,9728,Yes,393,76.01306802,Yes,Hybrid,86,International,95,Low,Yes,No,Low,13.5,Yes,Active,No Scholarship,45014.44,Yes,Full Sponsorship,Mandarin,None,Healthcare,Engineering,1996,5,Gym,Restaurants,12,Nov-01,Yes,No,45,80,EUR,Regional Award,Yes,3,5,No,Natural Springs,Average,6.891749074,Not Available,No,Low,55,Yes,No,79.23553221,Yes
38,McGill University,USA,North America,Temperate,23071,24558,Yes,394,88.89536017,Yes,Online,89,International,99,Medium,Yes,No,Low,10.98,Yes,Inactive,Full Scholarship,37088.89,Yes,Partial Sponsorship,French,TOEFL,Consulting,Technology,1946,4,Gym,Cafeteria,13,Apr-30,No,Yes,26,95,USD,National Recognition,Yes,8,3,Yes,Waterfalls,Average,6.700123519,Not Available,Yes,Medium,39,No,Yes,70.93475274,No
110,RWTH Aachen University,USA,Europe,Arid,10076,13749,Yes,395,70.25951984,No,In-person,93,National,84,Medium,No,Yes,Low,9,Yes,Active,Partial Scholarship,36344.04,Yes,Partial Sponsorship,Spanish,GRE,Manufacturing,Engineering,1961,5,Library,Cafeteria,12,Nov-01,Yes,No,32,85,USD,National Recognition,Yes,0,7,No,Parks,Average,9.13582774,Not Available,No,High,28,No,No,72.14432611,No
601-800,Polytechnic University of Valencia,USA,North America,Tropical,21555,22314,Yes,395,98.36800095,No,Hybrid,77,National,65,Medium,No,No,Low,12.17,Yes,Active,Partial Scholarship,41638.63,Yes,Partial Sponsorship,Spanish,TOEFL,Manufacturing,Law,1927,3,Gym,Cafeteria,29,Jan-15,No,Yes,48,85,EUR,National Recognition,No,3,8,No,Mountain Ranges,Good,6.741208992,Available,No,Medium,31,No,No,77.04223463,No
6,Harvard University,UK,Asia,Tropical,45323,10132,No,397,51.76854337,Yes,In-person,79,Regional,95,Medium,No,No,High,10.59,No,Active,No Scholarship,19457.13,Yes,Partial Sponsorship,English,None,Consulting,Law,1803,5,Labs,Restaurants,40,Jan-15,Yes,No,35,80,USD,National Recognition,Yes,8,10,Yes,Museums,Average,9.678545503,Not Available,Yes,Medium,27,Yes,No,76.44510745,No
401-500,University of Hull,USA,North America,Continental,48900,14592,Yes,398,61.43978151,No,In-person,92,National,82,High,No,No,Low,17.31,No,Inactive,No Scholarship,24770.79,Yes,No Sponsorship,French,None,Healthcare,Business,1846,5,Labs,Food Court,49,Jan-15,No,Yes,25,80,GBP,Regional Award,Yes,7,7,Yes,Temples,Excellent,7.821125014,Available,Yes,High,51,Yes,Yes,97.42021605,No
301-350,University of Milan-Bicocca,Canada,North America,Temperate,21176,14246,No,399,60.74798822,No,In-person,86,Regional,100,Low,Yes,Yes,High,16.37,No,Inactive,Full Scholarship,1826.04,Yes,Partial Sponsorship,Mandarin,IELTS,Consulting,Business,1926,4,Gym,Restaurants,26,Jan-15,Yes,Yes,41,90,USD,Regional Award,Yes,0,4,Yes,Opera Houses,Good,9.421033749,Not Available,Yes,Low,21,Yes,No,90.74144787,Yes
601-800,Tokyo University of Marine Science and Technology,Australia,Europe,Continental,39093,15476,Yes,399,63.27820322,Yes,In-person,83,Regional,91,Medium,No,No,High,8.63,Yes,Inactive,Partial Scholarship,3465.52,No,Partial Sponsorship,German,TOEFL,Tech,Arts,1914,3,Gym,Restaurants,45,Jan-15,No,Yes,49,85,GBP,Regional Award,No,5,5,Yes,Waterfalls,Average,9.513301712,Available,Yes,Low,18,No,No,83.94090734,Yes
47,Wageningen University and Research Center,Australia,Asia,Tropical,36267,19361,No,400,91.17005547,Yes,In-person,89,International,79,High,No,Yes,Medium,14.92,No,Active,Full Scholarship,5307.78,No,Full Sponsorship,Spanish,IELTS,Tech,Engineering,1956,3,Library,Cafeteria,49,Apr-30,No,Yes,34,95,EUR,Global Ranking Top 100,Yes,7,7,No,Sports Stadiums,Average,6.901025884,Not Available,No,Low,90,Yes,Yes,73.65021627,No
501-600,Amirkabir University of Technology,USA,Asia,Temperate,17969,8279,No,400,52.45165118,No,Online,77,International,75,High,Yes,No,High,10.6,No,Active,No Scholarship,5794.7,Yes,Full Sponsorship,French,TOEFL,Manufacturing,Technology,1854,4,Labs,Cafeteria,21,Jan-15,No,No,47,95,EUR,Regional Award,Yes,9,2,No,Hot Springs,Excellent,8.902171558,Not Available,Yes,Medium,16,Yes,No,71.52909699,No
351-400,San Diego State University,Australia,Oceania,Arid,11595,9710,Yes,402,85.7666348,No,Online,90,National,82,High,No,Yes,Low,10.08,No,Inactive,Full Scholarship,17112.63,Yes,Partial Sponsorship,German,IELTS,Finance,Law,1922,5,Gym,Restaurants,48,Apr-30,No,Yes,17,85,GBP,National Recognition,No,5,5,No,Botanical Gardens,Excellent,9.911227996,Available,Yes,Low,97,No,No,96.36682511,No
